ident,name,continent,iso_country,iso_region,municipality,gps_code,iata_code,coordinates
LFBD,Bordeaux-MÃƒÂ©rignac Airport,EU,FR,FR-NAQ,Bordeaux/MÃƒÂ©rignac,LFBD,BOD,"-0.715556025505, 44.828300476100004"
LFBO,Toulouse-Blagnac Airport,EU,FR,FR-OCC,Toulouse/Blagnac,LFBO,TLS,"1.36382, 43.629101"
LFLL,Lyon Saint-ExupÃƒÂ©ry Airport,EU,FR,FR-ARA,Lyon,LFLL,LYS,"5.081111, 45.725556"
LFML,Marseille Provence Airport,EU,FR,FR-PAC,Marseille,LFML,MRS,"5.22142410278, 43.439271922"
LFMN,Nice-CÃƒÂ´te d'Azur Airport,EU,FR,FR-PAC,Nice,LFMN,NCE,"7.215869903560001, 43.6584014893"
LFOA,Avord (BA 702) Air Base,EU,FR,FR-CVL,Avord,LFOA,,"2.6325, 47.053299"
LFPG,Charles de Gaulle International Airport,EU,FR,FR-IDF,Paris,LFPG,CDG,"2.55, 49.012798"
LFPO,Paris-Orly Airport,EU,FR,FR-IDF,Paris,LFPO,ORY,"2.3794444, 48.7233333"
LFSB,EuroAirport Basel-Mulhouse-Freiburg Airport,EU,FR,FR-GES,BÃƒÂ¢le/Mulhouse,LFSB,BSL,"7.529167, 47.59"
LGAV,Eleftherios Venizelos International Airport,EU,GR,GR-A1,Athens,LGAV,ATH,"23.9444999695, 37.9364013672"
LGIR,Heraklion International Nikos Kazantzakis Airport,EU,GR,GR-91,Heraklion,LGIR,HER,"25.180299758900002, 35.3396987915"
LGTS,Thessaloniki Macedonia International Airport,EU,GR,GR-54,Thessaloniki,LGTS,SKG,"22.97089958190918, 40.51969909667969"
LHBP,Budapest Liszt Ferenc International Airport,EU,HU,HU-PE,Budapest,LHBP,BUD,"19.261093, 47.42976"
LIBD,Bari Karol WojtyÃ…Â‚a Airport,EU,IT,IT-75,Bari,LIBD,BRI,"16.760599, 41.138901"
LICC,Catania-Fontanarossa Airport,EU,IT,IT-82,Catania,LICC,CTA,"15.0664, 37.466801"
LICJ,FalconeÃ¢Â€Â“Borsellino Airport,EU,IT,IT-82,Palermo,LICJ,PMO,"13.091, 38.175999"
LIEE,Cagliari Elmas Airport,EU,IT,IT-88,Cagliari,LIEE,CAG,"9.05428, 39.251499"
LIMC,Malpensa International Airport,EU,IT,IT-25,Milan,LIMC,MXP,"8.72811, 45.6306"
LIME,Milan Bergamo Airport,EU,IT,IT-25,Bergamo,LIME,BGY,"9.70417, 45.673901"
LIMF,Turin Airport,EU,IT,IT-21,Torino,LIMF,TRN,"7.64963, 45.200802"
LIMJ,Genoa Cristoforo Colombo Airport,EU,IT,IT-42,Genova,LIMJ,GOA,"8.8375, 44.4133"
LIML,Milano Linate Airport,EU,IT,IT-25,Milan,LIML,LIN,"9.27674, 45.445099"
LIPE,Bologna Guglielmo Marconi Airport,EU,IT,IT-45,Bologna,LIPE,BLQ,"11.2887, 44.5354"
LIPH,Treviso-Sant'Angelo Airport,EU,IT,IT-34,Treviso,LIPH,TSF,"12.1944, 45.648399"
LIPX,Verona Villafranca Airport,EU,IT,IT-34,Verona,LIPX,VRN,"10.8885, 45.395699"
LIPZ,Venice Marco Polo Airport,EU,IT,IT-34,Venice,LIPZ,VCE,"12.3519, 45.505299"
LIRA,CiampinoÃ¢Â€Â“G. B. Pastine International Airport,EU,IT,IT-62,Rome,LIRA,CIA,"12.5949, 41.7994"
LIRF,Leonardo da VinciÃ¢Â€Â“Fiumicino Airport,EU,IT,IT-62,Rome,LIRF,FCO,"12.2388889, 41.8002778"
LIRN,Naples International Airport,EU,IT,IT-72,NÃƒÂ¡poli,LIRN,NAP,"14.2908, 40.886002"
LIRP,Pisa International Airport,EU,IT,IT-52,Pisa,LIRP,PSA,"10.3927, 43.683899"
LJLJ,Ljubljana JoÃ…Â¾e PuÃ„Ânik Airport,EU,SI,SI-061,Ljubljana,LJLJ,LJU,"14.4576, 46.223701"
LKPR,VÃƒÂ¡clav Havel Airport Prague,EU,CZ,CZ-PR,Prague,LKPR,PRG,"14.26, 50.1008"
LMML,Malta International Airport,EU,MT,MT-25,Valletta,LMML,MLA,"14.4775, 35.857498"
LOWW,Vienna International Airport,EU,AT,AT-9,Vienna,LOWW,VIE,"16.569700241089, 48.110298156738"
LPFR,Faro Airport,EU,PT,PT-08,Faro,LPFR,FAO,"-7.96590995789, 37.0144004822"
LPLA,Lajes Airport,EU,PT,PT-20,Praia da VitÃƒÂ³ria,LPLA,TER,"-27.090799, 38.761799"
LPPD,JoÃƒÂ£o Paulo II Airport,EU,PT,PT-20,Ponta Delgada,LPPD,PDL,"-25.6979007721, 37.7411994934"
LPPR,Francisco de SÃƒÂ¡ Carneiro Airport,EU,PT,PT-13,Porto,LPPR,OPO,"-8.68138980865, 41.2481002808"
LPPT,Humberto Delgado Airport (Lisbon Portela Airport),EU,PT,PT-11,Lisbon,LPPT,LIS,"-9.13592, 38.7813"
LQSA,Sarajevo International Airport,EU,BA,BA-BIH,Sarajevo,LQSA,SJJ,"18.331499099731445, 43.82460021972656"
LROP,Henri CoandÃ„Âƒ International Airport,EU,RO,RO-B,Bucharest,LROP,OTP,"26.085, 44.5711111"
LSGG,Geneva Cointrin International Airport,EU,CH,CH-GE,Geneva,LSGG,GVA,"6.108950138092041, 46.23809814453125"
LSZH,ZÃƒÂ¼rich Airport,EU,CH,CH-ZH,Zurich,LSZH,ZRH,"8.54917, 47.464699"
LWSK,Skopje International Airport,EU,MK,MK-004,Skopje,LWSK,SKP,"21.621401, 41.961601"
LYBE,Belgrade Nikola Tesla Airport,EU,RS,RS-00,Belgrade,LYBE,BEG,"20.3090991974, 44.8184013367"
LYPG,Podgorica Airport,EU,ME,ME-16,Podgorica,LYPG,TGD,"19.2519, 42.359402"
LZIB,M. R. Ã…Â tefÃƒÂ¡nik Airport,EU,SK,SK-BL,Bratislava,LZIB,BTS,"17.21269989013672, 48.17020034790039"
UKBB,Boryspil International Airport,EU,UA,UA-32,Kiev,UKBB,KBP,"30.894699096679688, 50.345001220703125"
UKFF,Simferopol International Airport,EU,UA,UA-43,Simferopol,,SIP,"33.975101, 45.0522"
UKHH,Kharkiv International Airport,EU,UA,UA-63,Kharkiv,UKHH,HRK,"36.290000915527344, 49.924800872802734"
UKOO,Odessa International Airport,EU,UA,UA-51,Odessa,UKOO,ODS,"30.67650032043457, 46.42679977416992"
UMMS,Minsk National Airport,EU,BY,BY-MI,Minsk,UMMS,MSQ,"28.030700683594, 53.882499694824"
